epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,673.205,1.20296,0.63428,1.00024,0.93251,0.83732,0.92342,0.60614,1.18468,0.55913,1.01508,0.000990365,0.000990365,0.000990365
43,689.046,1.21034,0.63257,0.9999,0.9318,0.85084,0.93012,0.61089,1.19122,0.55763,1.01756,0.000973861,0.000973861,0.000973861
44,704.93,1.19521,0.63102,0.9993,0.93353,0.85588,0.93539,0.60872,1.19161,0.55139,1.01789,0.000957358,0.000957358,0.000957358
45,720.917,1.19805,0.62682,0.99841,0.92232,0.84286,0.9268,0.60526,1.1925,0.55669,1.01785,0.000940855,0.000940855,0.000940855
46,736.802,1.18745,0.61912,0.99349,0.94301,0.84611,0.93563,0.60925,1.18296,0.54839,1.01661,0.000924352,0.000924352,0.000924352
47,752.653,1.19105,0.61747,0.99093,0.93466,0.83641,0.93092,0.61401,1.18721,0.5432,1.01471,0.000907848,0.000907848,0.000907848
48,768.747,1.18725,0.61835,0.99129,0.94124,0.84857,0.93322,0.61211,1.19181,0.53992,1.02055,0.000891345,0.000891345,0.000891345
49,784.307,1.18919,0.61532,0.99111,0.93527,0.85894,0.93575,0.60977,1.19336,0.53997,1.01697,0.000874842,0.000874842,0.000874842
50,800.086,1.18731,0.61113,0.99005,0.94164,0.84981,0.93201,0.60415,1.2041,0.55149,1.02166,0.000858338,0.000858338,0.000858338
51,815.942,1.17876,0.61219,0.98974,0.94277,0.85026,0.932,0.61491,1.19162,0.54367,1.01909,0.000841835,0.000841835,0.000841835
52,831.895,1.18252,0.60739,0.98869,0.934,0.85162,0.93144,0.61154,1.1927,0.5475,1.01712,0.000825332,0.000825332,0.000825332
53,847.615,1.18224,0.60868,0.99163,0.93646,0.84758,0.93082,0.60905,1.19646,0.54202,1.01914,0.000808828,0.000808828,0.000808828
54,863.515,1.18104,0.60968,0.98556,0.94176,0.84442,0.93539,0.61386,1.19049,0.54113,1.0147,0.000792325,0.000792325,0.000792325
55,879.5,1.1751,0.60242,0.98779,0.94246,0.84973,0.93608,0.61257,1.18305,0.54021,1.01115,0.000775822,0.000775822,0.000775822
56,895.423,1.16327,0.59599,0.98281,0.9339,0.85062,0.93473,0.61601,1.18122,0.53383,1.01137,0.000759318,0.000759318,0.000759318
57,911.413,1.17472,0.60337,0.98677,0.92733,0.86493,0.9382,0.61412,1.18478,0.53102,1.01142,0.000742815,0.000742815,0.000742815
58,927.365,1.1738,0.59764,0.98466,0.92194,0.86538,0.93869,0.61745,1.19033,0.53244,1.01634,0.000726312,0.000726312,0.000726312
59,943.264,1.16453,0.59267,0.98432,0.92093,0.86312,0.93781,0.61903,1.17934,0.52655,1.01071,0.000709809,0.000709809,0.000709809
60,959.229,1.1646,0.59264,0.98394,0.94728,0.85035,0.93479,0.61439,1.18531,0.53005,1.01779,0.000693305,0.000693305,0.000693305
61,975.094,1.16601,0.59236,0.98502,0.91535,0.86783,0.93373,0.61783,1.17911,0.52898,1.01216,0.000676802,0.000676802,0.000676802
62,990.719,1.14843,0.58342,0.97849,0.92562,0.86482,0.93519,0.61398,1.18291,0.52391,1.01636,0.000660299,0.000660299,0.000660299
63,1006.5,1.15518,0.5781,0.98209,0.93802,0.84942,0.9302,0.6173,1.1804,0.52861,1.0149,0.000643795,0.000643795,0.000643795
64,1022.2,1.14775,0.58165,0.97859,0.93717,0.85531,0.93392,0.61502,1.18031,0.52193,1.01314,0.000627292,0.000627292,0.000627292
65,1038.21,1.15733,0.58247,0.98043,0.93921,0.85651,0.93235,0.61615,1.18143,0.51965,1.01522,0.000610789,0.000610789,0.000610789
66,1054.16,1.1472,0.57627,0.97459,0.93325,0.85756,0.93498,0.61789,1.17806,0.51797,1.01124,0.000594286,0.000594286,0.000594286
67,1070.07,1.15034,0.57739,0.9753,0.93506,0.8657,0.9375,0.61981,1.17983,0.51368,1.01411,0.000577782,0.000577782,0.000577782
68,1086.09,1.13657,0.56778,0.96996,0.93829,0.87002,0.93805,0.62103,1.17154,0.51236,1.01168,0.000561279,0.000561279,0.000561279
69,1102.19,1.14959,0.574,0.97382,0.92783,0.86952,0.93741,0.6227,1.17397,0.51531,1.01508,0.000544776,0.000544776,0.000544776
70,1118.17,1.14424,0.56727,0.97668,0.92945,0.86684,0.93832,0.62507,1.1734,0.51435,1.01162,0.000528272,0.000528272,0.000528272
71,1134.11,1.13295,0.57001,0.97227,0.91935,0.87404,0.93818,0.62208,1.17847,0.51284,1.01119,0.000511769,0.000511769,0.000511769
